Borough,Site Name,Site Address,Postcode,Type of Site,Grid ref easting,Grid ref northing,Open to Public,Opening times,Site Ref
Barnet,Golders Hill Park,"West Heath Road/North End Road, Childs Hill",NW11,Public Park,525642,186936,Yes,summer closing: 9.45pm (check opening/winter),BAR027
Barnet,Greenhill Gardens,"Pricklers Hill, Great North Road/Greenhill Park, Barnet Vale",EN5 1HE,Public Park,525852,195518,Yes,unrestricted,BAR028
Barnet,Hadley Green,"Great North Road/Hadley Highstone/Hadley Green Road, Monken Hadley",EN5 4PT,Public Open Land,524630,197344,Yes,unrestricted,BAR029
Barnet,Hampstead Heath Extension,Hampstead Way/Wildwood Road,NW11 6UX,Public Open Land,525922,187725,Yes,unrestricted,BAR030
Barnet,Heathcroft (Hampstead Garden Suburb),Hampstead Way,NW11,Housing/Estate Landscaping,525820,187492,No,,BAR031
Barnet,Hendon Cemetery and Crematorium,"Holders Hill Road, Mill Hill",NW7 1NB,Cemetery,523893,190837,Yes,8.30am - 4.30pm (October-February)/5.30pm (Mar-April)/7pm (May-September),BAR032
Barnet,Hendon Grove (including Hendon Town Hall and Public Library Forecourt),"The Burroughs, Hendon",NW4 4BQ,Public Gardens,522660,189170,Yes,unrestricted,BAR033
Barnet,Hendon Hall Hotel,"Ashley Lane, off Parson Street",NW4,Private Garden,523500,189870,Partially,"open to hotel residents and visitors to functions, but visits may be arranged through the hotel",BAR034
Barnet,Hendon Park,Queens Road/Shirehall Lane/Park View Gardens/Cheyne Walk,NW4 4UP,Public Park,523352,188463,Yes,unrestricted,BAR035
Barnet,Hendon Rectory,Parson Street,NW4,Private Garden,523345,189571,No,private,BAR036
Barnet,Highlands Gardens,"Leicester Road & Abbotts Road/Prospect Road, Barnet Vale",EN5 5EB,Public Gardens,525544,195954,Yes,,BAR037
Barnet,Holy Trinity Churchyard,"Church Lane, East Finchley",N2 0TH,Churchyard,526596,189714,Yes,unrestricted,BAR038
Barnet,Lawrence Campe Almshouses,"Friern Barnet Lane, Whetstone",N20,Private Garden,526770,193440,No,private,BAR039
Barnet,Leathersellers' Close,"Union Street, Barnet",EN5 4JB,Private Garden,524137,196517,No,Private,BAR039a
Barnet,"Linnell Close communal gardens, Hampstead Garden Suburb",Linnell Drive/Linnell Close,NW11 7LN,Housing/Estate Landscaping,525573,188080,Yes,private with public access,BAR040
Barnet,"Litchfield Square, Hampstead Garden Suburb",84-108 Hampstead Way,NW11,Housing/Estate Landscaping,524681,188323,Yes,private with public access,BAR041
Barnet,Little Grove (site of),"Cat Hill, East Barnet",EN4,Garden Feature Remnants,527870,195610,No,private,BAR042
Barnet,"Little Wood, Hampstead Garden Suburb",Denman Drive North/Oakwood Road/Addison Way,NW11 6QS,Public Open Land,525340,189020,Yes,unrestricted,BAR043
Barnet,"Lucas Square, Hampstead Garden Suburb",60-82 Hampstead Way,NW11,Housing/Estate Landscaping,525195,188454,Yes,private with public access,BAR044
Barnet,Lyttelton Playing Fields,Kingsley Way/Norrice Lea/Lyttelton Road,N2 0DQ,Public Park,526390,188770,Yes,unrestricted,BAR045
Barnet,Malcolm Park,Malcolm Crescent/Talbot Crescent/Woodward Avenue,NW4 4HP,Public Park,522190,188640,Yes,unrestricted,BAR046
Barnet,"Meadway Gate Open Space, Hampstead Garden Suburb",Meadway Gate,NW11 7LA,Public Gardens,525360,188100,Yes,unrestricted,BAR047
Barnet,Mill Field,"The Ridgeway, Mill Hill",NW7 4EB,Public Park,522177,192912,Yes,unrestricted,BAR048
Barnet,Mill Hill Cemetery,Milespit Hill,NW7 2RR,Cemetery,523146,191834,Yes,weekdays 8.30am-4.30pm (Nov-Feb)/- 6pm (Mar-Oct). Sat/Sun/BH: 11am - 4pm (Nov-Feb)/- 6pm (Mar-Oct),BAR049
Barnet,Mill Hill Park,Wise Lane/Daws Lane/Flower Lane/Watford Way,NW7 2BD,Public Park,521932,191860,Yes,unrestricted,BAR050
Barnet,Mill Hill School,"The Ridgeway, Mill Hill",NW7 1QS,Institutional Grounds,522420,192360,By appointment only,visit by appointment only,BAR051
Barnet,Mill Hill Village Green,Milespit Hill/High Street,NW7,Public Open Land,522859,192452,Yes,unrestricted,BAR052
Barnet,Moat Mount Open Space and Scratchwood Open Space,Barnet Way/Hendon Wood Lane/Barnet Road/Highwood Hill,NW7 4HJ,Public Open Land;,520850,194320,Yes,unrestricted (car park closes dusk),BAR053
Barnet,Monken Hadley Common,"Camlet Way/Hadley Common/Bakers Hill, Monken Hadley",EN5 5QH,Public Open Land,525500,197500,Yes,unrestricted,BAR054
Barnet,New Southgate Cemetery and Crematorium,Brunswick Park Road,N11 1JJ,Cemetery,528590,193350,Yes,"7am-6pm November-February; 7am-8pm March-October. Office open weekdays 9am-5pm, Sat 9am-12",BAR055
Barnet,North Middlesex Golf Course,"Friern Barnet Lane, Whetstone",N20 0NL,Private Open Land,526820,193080,No,"private, golfers use only",BAR056
Barnet,Northway Gardens and Northway Gardens Extension,Northway/Falloden Way/Kingsley Way,NW11 6RJ,Public Gardens,525770,188990,Yes,unrestricted,BAR057
Barnet,Oak Hill Park and Oak Hill Woods Local Nature Reserve,"Church Hill Road/Parkside Gardens/Daneland/Vernon Crescent, East Barnet",EN4 8JS,Public Park;,528020,194950,Yes,unrestricted,BAR058
Barnet,Old Court House Recreation Ground,"Manor Close off Wood Street/Orchard Road/Mays Lane, Chipping Barnet",EN5 4BP,Public Park,524480,196350,Yes,8am to dusk,BAR059
Barnet,Princes Park,"Oakfields Road/Princes Park Avenue/Park Way, Golders Green",NW11 0JS,Public Park,524390,188520,Yes,unrestricted,BAR060
Barnet,Princess Park Manor,"Friern Barnet Road, New Southgate",N11 3FL,Housing/Estate Landscaping,528270,192150,No,private,BAR061
Barnet,Ravenscroft Almshouses,Wood Street,EN5,Private Garden,524270,196450,No,"private, visible from the road",BAR062
Barnet,Ravenscroft Gardens,"Wood Street/Ravenscroft Park, Chipping Barnet",EN5 4ND,Public Park,523989,196454,Yes,unrestricted,BAR063
Barnet,Rowley Green Common,"off Rowley Lane, Arkley",EN5,Public Open Land,521727,196084,Yes,unrestricted,BAR064
Barnet,Rushgrove Park,Rushgrove Avenue/Crossway,NW9 6RD,Public Park,521799,189202,Yes,unrestricted,BAR065
Barnet,Silkstream Park,"Silkstream Road/Montrose Avenue, Burnt Oak",HA8 0DF,Public Park,520500,190490,Yes,unrestricted,BAR082a
Barnet,St Alban's Churchyard,North End Road/West Heath Drive,NW11 7RA,Churchyard,525343,187343,Yes,unrestricted,BAR067
Barnet,"St Andrew's Churchyard and Burial Ground, Totteridge",Totteridge Village,N20 8PR,Churchyard,524708,194207,Yes,unrestricted,BAR068
Barnet,"St James's Churchyard, Friern Barnet",Friern Barnet Lane/Friary Road,N20 0LP,Churchyard,527225,192910,Yes,unrestricted,BAR069
Barnet,St John the Baptist Churchyard,"Wood Street/High Street, Barnet",EN5 4BW,Public Gardens,524510,196470,Yes,unrestricted (church open),BAR070
Barnet,St Joseph's College,"Lawrence Street, Mill Hill",NW7 4JX,Institutional Grounds,521826,192752,No,private,BAR071
Barnet,St Margaret's Churchyard,"Station Road, Edgware",HA8 7HE,Churchyard,519260,191690,Yes,unrestricted,BAR072
Barnet,St Martha's Senior School,"Camlet Way, Monken Hadley",EN4 0NJ,Institutional Grounds,525327,197643,No,private (casual visitors not welcome),BAR073
Barnet,St Mary the Virgin Churchyard,"Hadley Green Road, Monken Hadley",EN5 5QD,Churchyard,525020,197410,Yes,unrestricted. Church open occasional Sundays 2.30-4.30pm,BAR075
Barnet,"St Mary the Virgin Churchyard, East Barnet","Church Hill Road, East Barnet",EN4 8XE,Churchyard,527710,194560,Yes,unrestricted,BAR074
Barnet,St Mary-at-Finchley Churchyard,"Hendon Lane, Finchley",N3 1TR,Churchyard,524928,190522,Yes,unrestricted,BAR076
Barnet,"St Mary's Churchyard, Hendon","Church End, Hendon",NW4 1JX,Churchyard,522890,189600,Yes,unrestricted. Church open Sat 10-12; Sun 3pm - evensong,BAR077
Barnet,"St Michael and All Angels, Mill Hill","Flower Lane, Mill Hill",NW7 2JA,Churchyard,521641,192135,Yes,unrestricted,BAR078
Barnet,St Pancras and Islington Cemetery and Crematorium *,"High Road, East Finchley",N2 9AG,Cemetery,527213,190640,Yes,Daily: 9am - 4pm (winter)/ - 5pm (summer); Xmas Day 10am-2pm,BAR079
Barnet,"St Paul's Churchyard, Mill Hill","The Ridgeway, Mill Hill",NW7 4ED,Churchyard,522580,192820,Yes,unrestricted,BAR080
Barnet,"St Peter's Church, Arkley","Barnet Road, Arkley, Hertfordshire",EN5 3JF,Churchyard,522420,195770,Yes,unrestricted,BAR081
Barnet,St Vincent's Provincial House,The Ridgeway,NW7 1EH,Institutional Grounds,522987,192542,No,"private, no access",BAR082
Barnet,Station Road War Memorial,"Station Road/Great North Road, New Barnet",EN5 1QR,Public Gardens,525490,195790,Yes,unrestricted,BAR083
Barnet,"Stephens House & Gardens, formerly known as Avenue House Grounds *","East End Road, Finchley",N3 3QE,Public Gardens,525208,190271,Yes,Normally during the hours of daylight subject to reasonable rules,BAR003
Barnet,Stonegrove Park,"Stonegrove/Park Grove, Edgware",HA8 7SH,Public Park,518962,192184,Yes,unrestricted,BAR084
Barnet,Stoneyfields Park,"Edgware Way/Fairmead Crescent, Edgware",HA8 9TB,Public Park,520330,193110,Yes,unrestricted,BAR085
Barnet,Sunny Hill Park,"Church End, Hendon/Sunnyfields Crescent/Sunny Gardens Road/Watford Way/Great North Way",NW4 4NA,Public Park,522730,190130,Yes,unrestricted,BAR086
Barnet,"Sunshine Corner, Hampstead Garden Suburb",Heathgate,NW11 7LL,Public Open Land,525698,188063,Yes,unrestricted,BAR087
Barnet,Swan Lane Open Space,Swan Lane/High Road Whetstone,N20 0PR,Public Park,526188,193352,Yes,check if closed at dusk,BAR088
Barnet,The Croft,"Totteridge Green, Totteridge",N20,Private Garden,524970,193570,No,private,BAR018
Barnet,The Sternberg Centre for Judaism,80 East End Road,N3 2SY,Institutional Grounds,525470,189960,Partially,Has opened for London Open House. Otherwise open for those participating in activities at the Centre,BAR083a
Barnet,The Windmill,"Windmill Lane, Barnet Gate",EN5,Private Garden,521701,195321,No,"private, no private access",BAR100
Barnet,Totteridge Common,Totteridge Common/Totteridge Lane,N20 8LS,Public Open Land,523191,193850,Yes,unrestricted,BAR090
Barnet,Totteridge Green,Totteridge Green/Totteridge Village,N20 8PE,Public Open Land,525004,193737,Yes,unrestricted,BAR091
Barnet,Victoria Park,"Ballards Lane/ Long Lane/Park View Road, Finchley",N3 2NE,Public Park,525844,191054,Yes,closes at dusk,BAR092
Barnet,Victoria Recreation Ground,"Lawton Road/Victoria Road/Park Road, New Barnet",EN4 9QB,Public Park,526677,196454,Yes,unrestricted,BAR093
Barnet,Village Road Green,Village Road/via footpath from Holders Hill Road,N3 1TJ,Public Open Land,524258,190410,Yes,unrestricted,BAR094
Barnet,Waterlow Court (Hampstead Garden Suburb),"Heath Close, off Hampstead Way",NW11,Housing/Estate Landscaping,525601,187572,By appointment only,"Has opened for OGSW (guided tours). Otherwise private, for residents only",BAR095
Barnet,Watling Park,"Cressingham Road/Abbots Road/Colchester Road/Watling Avenue, Burnt Oak",HA8 0RW,Public Park,520575,191203,Yes,unrestricted,BAR096
Barnet,"Willifield Green, Hampstead Garden Suburb",Willifield Way,NW11 6YE,Public Open Land,525052,188896,Yes,unrestricted,BAR098
Barnet,"Willifield Way Open Space, Hampstead Garden Suburb",Hampstead Way/Willifield Way,NW11 7YA,Public Gardens,525330,188340,Yes,unrestricted,BAR099
Barnet,Woodside Home,"Baxendale, off High Road, Whetstone",N20 0EH,Private Garden,526276,193779,No,private,BAR101
Bexley,Abbey Hill Park,"Canterbury Avenue, Sidcup",DA15 9AF,Public Park,546900,172730,Yes,8am - dusk,BEX001
Bexley,"All Saints Churchyard, Foots Cray","Rectory Lane, Foots Cray, Sidcup, Kent",DA14 5BP,Churchyard,547601,171280,Yes,unrestricted,BEX002
Bexley,Barnehurst Golf Course,"Mayplace Road East, Bexleyheath",DA7 6JU,Public Open Land,550795,175717,Yes,7.45am - dusk,BEX003
Bexley,Belvedere Recreation Ground (Belvedere Recreation Ground South and Belvedere Splash Park),"Woolwich Road/Heron Hill/Albert Road, Belvedere",DA17 5ER,Public Park,548980,178280,Yes,8am- dusk. Splash Park open 11am-6pm May-September,BEX004
Bexley,Bexleyheath Cemetery,"Banks Lane, Broadway/Upland Road, Bexleyheath",DA6 7BH,Cemetery,548800,175500,Yes,9am - 6pm (summer: April-September); 9am-4pm (winter: October-March),BEX005
Bexley,Bexleyheath Golf Course,"Mount Drive, Bexleyheath",DA6 8JS,Private Open Land,548200,174500,No,"private, with no public access",BEX006
Bexley,Bursted Woods,"Swanbridge Road/Erith Road, Bexleyheath",DA8,Public Open Land,549830,176470,Yes,unrestricted,BEX007
Bexley,Cemetery of Our Lady of the Angels Capuchin Franciscan Friary,"Bexley Road/Carlton Road, Northumberland Heath",DA8 1DN,Cemetery,550290,177500,No,no access,BEX008
Bexley,Chalk Wood,"Parsonage Lane, North Cray",DA14 5EZ,Public Open Land,549607,170815,Yes,unrestricted,BEX009
Bexley,"Christ Church, Erith","Victoria Road, Erith",DA8 3AN,Churchyard,551243,177897,Yes,unrestricted,BEX010
Bexley,Crossness Pumping Station,"The Old Works, Belvedere Road, Abbey Wood",SE2 9AQ,Private Open Land,548225,180990,Occasionally,"Open days (for dates, check The Crossness Engines Trust website or 020 8854 0945)",BEX011a
Bexley,Crossway Park,Thamesmead,SE28 8NG,Public Park,547569,180428,Yes,unrestricted,BEX012
Bexley,Danson Park *,"Park View Road, Welling; Danson Road, Bexleyheath",DA6 8HL,Public Park,547150,175032,Yes,"7.30am - dusk Mon-Fri, 9am - dusk Sat/Sun/Bank Holidays. Splash Park open summer 10am-6pm, winter 10am-2pm weekdays/-3.30pm weekends",BEX013
Bexley,East Wickham Open Space,"Glenmore Road/Wickham Street, Welling, Kent",DA16 3BJ,Public Open Land,546210,176970,Yes,unrestricted,BEX014
Bexley,Erith Cemetery,"Brook Street, Erith",DA8 1DY,Cemetery,549658,177865,Yes,9am - 6pm (summer: April-September); 9am-4pm (winter: October-March),BEX015
Bexley,Erith Recreation Ground,"Avenue Road, Erith",DA8 3RD,Public Park,551376,177489,Yes,8am - dusk,BEX016
Bexley,Foots Cray Meadows *,"Rectory Lane, Foots Cray",DA14,Public Park,547889,171797,Yes,unrestricted,BEX017
Bexley,Franks Park,"Erith Road, Belvedere",DA17 6HB,Public Park,550000,178700,Yes,unrestricted,BEX018
Bexley,Frognal House,"Frognal Avenue, Chislehurst, Sidcup",DA14 6LF,Institutional Grounds;,546425,170875,No,residents and visitors only,BEX019
Bexley,Hall Place and Gardens *,"Bourne Road, Bexley",DA5 1PQ,Public Gardens;,550246,174175,Yes,"Formal gardens April-Sept 9am-10pm, Oct-Mar 9am-4pm. House 10am-5pm except Bank Holidays Xmas/New Year. Park & sports fields unrestricted",BEX021
Bexley,Hall Place North Field,"Bourne Road, Bexleyheath",DA5,Public Park,550135,174594,Yes,unrestricted,BEX022
Bexley,Hillview Cemetery,"Wickham Street, Welling",DA16 3NL,Cemetery,545558,176369,Yes,9am - 6pm (summer: April-September); 9am-4pm (winter: October-March),BEX023
Bexley,Holly Oak Wood Park,"Haddon Grove/Days Lane, Blackfen, Sidcup",DA15 8JU,Public Park,545860,173870,Yes,unrestricted,BEX025
Bexley,Howbury Moat,"Moat Lane/Whitehall Lane, Slade Green",DA8 2NE,Private Open Land,552783,176672,No,private,BEX026
Bexley,Joydens Wood,Birchwood Road/ Parsonage Lane,DA14,Public Open Land,550014,171697,Yes,unrestricted,BEX028
Bexley,King George's Recreation Ground,"Longlands Road, Sidcup, Kent",DA15 7LB,Public Park,545857,172644,Yes,8am - dusk,BEX029
Bexley,"Lamorbey Park, including The Glades, Sidcup Golf Course, Rose Bruford College *","Burnt Oak Lane/Halfway Street, Sidcup, Kent",DA15 9DF,Public Park;,546712,173214,Yes,8am - dusk,BEX030
Bexley,Lesnes Abbey,"Abbey Road, Belvedere",DA17 5DY,Public Park,548127,178518,Yes,unrestricted,BEX031
Bexley,Longlands Recreation Ground,"Crescent Road, Sidcup",DA15 7HN,Public Park,545606,172250,Yes,"7.30am - 8pm weekdays. 9am - 8pm weekends
Opening Hours  7.30 - 8 p.m.    Weekdays",BEX033
Bexley,Loring Hall,"8 Water Lane, North Cray Road, Sidcup, Kent",DA14 5ES,Private Garden,548738,172358,Occasionally,"Occasonally open for fund raising events, otherwise private",BEX034
Bexley,Manor House,"The Green, Sidcup, Kent",DA15 6BS,Public Gardens,546256,171566,Yes,unrestricted,BEX035
Bexley,Marlborough Park,"Marlborough Park Avenue/Burnt Oak Lane, Lamorbey",DA15 9DR,Public Park,546426,173547,Yes,Weekdays 7.30am-dusk; 9am-dusk weekends and bank holidays,BEX036
Bexley,Marten’s Grove Park,"Martens Avenue, Barnehurst",DA7 6AN,Public Park,550244,175347,Yes,8am - dusk,BEX037
Bexley,Mrs Stable's Almshouses,"12-16 Iron Mill Lane, Crayford",DA1 4RW,Private Garden,551300,175050,No,private,BEX038
Bexley,North Cray Poultry Farm,"North Cray Road, North Cray",DA14 5HE,Private Garden,548520,171160,No,private,BEX039
Bexley,Northumberland Heath Recreation Ground,"Sussex Road/Brook Street, Belvedere",DA17 6NH,Public Park,549674,177481,Yes,8am - dusk,BEX040
Bexley,Old Farm Park,"Old Farm Avenue, Sidcup",DA15 8AG,Public Park,545490,172830,Yes,8am - dusk,BEX041
Bexley,Penhill Park,"Rowley Avenue/Sherwood Park Avenue, Sidcup",DA15 9LF,Public Park,547010,173920,Yes,unrestricted,BEX043
Bexley,Red House Garden,"Red House Lane, Bexleyheath",DA6 8JF,Private Garden,548100,175090,Yes,"11am-5pm, Wed-Sun & BHs (Mar-early Nov); Fri-Sun (Nov-mid Dec). By pre-booked guided tours from 11am-1pm; unguided viewing from 1.30pm.",BEX044
Bexley,Riverside Gardens,"High Street, Erith",DA8 1QY,Public Gardens,551468,178192,Yes,unrestricted,BEX044a
Bexley,"Russell Park, Bexleyheath","Long Lane, Bexleyheath",DA7 4LX,Public Park,549396,175883,Yes,8am - dusk,BEX045
Bexley,Shenstone Park,"London Road/Old Road, Crayford",DA1 4DS,Public Park,550794,174956,Yes,unrestricted,BEX051
Bexley,Shoulder of Mutton Green,"Wickham Street, Bellegrove Road, Welling",DA16 3RT,Public Open Land,545470,176091,Yes,unrestricted,BEX051a
Bexley,Sidcup Cemetery,"Footscray Lane, Sidcup",DA14 4NS,Cemetery,547621,172906,Yes,9am - 6pm (summer: April-September); 9am-4pm (winter: October-March),BEX052
Bexley,Sidcup Place,"Chislehurst Road, Sidcup, Kent",DA14 6BT,Public Park,546370,171224,Yes,unrestricted,BEX053
